strain,sample,time,dose,gene_symbol,gene_expression
HW,WW2,19,0,Ahrr,6.774993069
HW,WW2,19,0,Aldh3a1,9.854535374
HW,WW2,19,0,Bbs2,36.95450765
HW,WW2,19,0,Ccbl1,396.6450488
HW,WW2,19,0,Cxcr7,24.63633843
HW,WW2,19,0,Col18a1,2354.618046
HW,WW3,19,0,Ahrr,2.845421363
HW,WW3,19,0,Aldh3a1,3.79389515
HW,WW3,19,0,Bbs2,48.37216317
HW,WW3,19,0,Ccbl1,294.0268741
HW,WW3,19,0,Cxcr7,18.02100196
HW,WW3,19,0,Col18a1,2219.428663
HW,WW4,19,0,Ahrr,8.779915746
HW,WW4,19,0,Aldh3a1,7.023932597
HW,WW4,19,0,Bbs2,55.3134692
HW,WW4,19,0,Ccbl1,361.7325287
HW,WW4,19,0,Cxcr7,29.85171354
HW,WW4,19,0,Col18a1,2932.491859
HW,WW49,19,0,Ahrr,8.632226856
HW,WW49,19,0,Aldh3a1,101.6684496
HW,WW49,19,0,Bbs2,60.42558799
HW,WW49,19,0,Ccbl1,352.0030285
HW,WW49,19,0,Cxcr7,33.56977111
HW,WW49,19,0,Col18a1,2753.680367
HW,WW50,19,0,Ahrr,4.506592426
HW,WW50,19,0,Aldh3a1,4.506592426
HW,WW50,19,0,Bbs2,43.93927615
HW,WW50,19,0,Ccbl1,402.213374
HW,WW50,19,0,Cxcr7,47.31922047
HW,WW50,19,0,Col18a1,3668.366235
HW,WW51,19,0,Ahrr,8.813061455
HW,WW51,19,0,Aldh3a1,2.711711217
HW,WW51,19,0,Bbs2,42.03152386
HW,WW51,19,0,Ccbl1,460.9909069
HW,WW51,19,0,Cxcr7,15.5923395
HW,WW51,19,0,Col18a1,3052.708902
HW,WW5,19,0.001,Ahrr,21.72089894
HW,WW5,19,0.001,Aldh3a1,59.44667078
HW,WW5,19,0.001,Bbs2,58.30346558
HW,WW5,19,0.001,Ccbl1,313.2382268
HW,WW5,19,0.001,Cxcr7,28.58013018
HW,WW5,19,0.001,Col18a1,1339.836503
HW,WW6,19,0.001,Ahrr,5.212333427
HW,WW6,19,0.001,Aldh3a1,96.4281684
HW,WW6,19,0.001,Bbs2,54.72950099
HW,WW6,19,0.001,Ccbl1,303.6184221
HW,WW6,19,0.001,Cxcr7,39.0925007
HW,WW6,19,0.001,Col18a1,1261.384689
HW,WW7,19,0.001,Ahrr,11.54108486
HW,WW7,19,0.001,Aldh3a1,4.616433944
HW,WW7,19,0.001,Bbs2,27.69860367
HW,WW7,19,0.001,Ccbl1,226.2052633
HW,WW7,19,0.001,Cxcr7,12.69519335
HW,WW7,19,0.001,Col18a1,622.064474
HW,WW8,19,0.001,Ahrr,5.313456645
HW,WW8,19,0.001,Aldh3a1,10.62691329
HW,WW8,19,0.001,Bbs2,38.25688784
HW,WW8,19,0.001,Ccbl1,250.7951536
HW,WW8,19,0.001,Cxcr7,12.75229595
HW,WW8,19,0.001,Col18a1,765.1377569
HW,WW10,19,0.01,Ahrr,11.81600851
HW,WW10,19,0.01,Aldh3a1,20.67801489
HW,WW10,19,0.01,Bbs2,35.44802553
HW,WW10,19,0.01,Ccbl1,265.8601915
HW,WW10,19,0.01,Cxcr7,36.92502659
HW,WW10,19,0.01,Col18a1,1264.312911
HW,WW11,19,0.01,Ahrr,6.124853888
HW,WW11,19,0.01,Aldh3a1,11.024737
HW,WW11,19,0.01,Bbs2,26.94935711
HW,WW11,19,0.01,Ccbl1,205.7950906
HW,WW11,19,0.01,Cxcr7,24.49941555
HW,WW11,19,0.01,Col18a1,948.1273819
HW,WW12,19,0.01,Ahrr,21.35288614
HW,WW12,19,0.01,Aldh3a1,3013.26905
HW,WW12,19,0.01,Bbs2,80.38733605
HW,WW12,19,0.01,Ccbl1,586.5763427
HW,WW12,19,0.01,Cxcr7,135.6536296
HW,WW12,19,0.01,Col18a1,1649.196441
HW,WW9,19,0.01,Ahrr,11.06052233
HW,WW9,19,0.01,Aldh3a1,3.3181567
HW,WW9,19,0.01,Bbs2,38.71182817
HW,WW9,19,0.01,Ccbl1,355.0427669
HW,WW9,19,0.01,Cxcr7,17.69683573
HW,WW9,19,0.01,Col18a1,1267.535859
HW,WW13,19,0.1,Ahrr,25.2745482
HW,WW13,19,0.1,Aldh3a1,6311.4157510000005
HW,WW13,19,0.1,Bbs2,111.930142
HW,WW13,19,0.1,Ccbl1,775.0861449
HW,WW13,19,0.1,Cxcr7,97.48754307
HW,WW13,19,0.1,Col18a1,1264.93096
HW,WW14,19,0.1,Ahrr,11.07549987
HW,WW14,19,0.1,Aldh3a1,23.15786337
HW,WW14,19,0.1,Bbs2,55.37749937
HW,WW14,19,0.1,Ccbl1,266.8188606
HW,WW14,19,0.1,Cxcr7,25.17159062
HW,WW14,19,0.1,Col18a1,1143.797078
HW,WW15,19,0.1,Ahrr,16.00969212
HW,WW15,19,0.1,Aldh3a1,22.01332667
HW,WW15,19,0.1,Bbs2,80.04846061
HW,WW15,19,0.1,Ccbl1,418.2532067
HW,WW15,19,0.1,Cxcr7,32.01938424
HW,WW15,19,0.1,Col18a1,1364.826253
HW,WW16,19,0.1,Ahrr,13.85053525
HW,WW16,19,0.1,Aldh3a1,39.57295786
HW,WW16,19,0.1,Bbs2,47.48754943
HW,WW16,19,0.1,Ccbl1,176.0996625
HW,WW16,19,0.1,Cxcr7,33.63701418
HW,WW16,19,0.1,Col18a1,819.1602276
HW,WW17,19,1,Ahrr,33.41682865
HW,WW17,19,1,Aldh3a1,755.7344325
HW,WW17,19,1,Bbs2,88.68312218
HW,WW17,19,1,Ccbl1,476.8324395
HW,WW17,19,1,Cxcr7,32.13156601
HW,WW17,19,1,Col18a1,1188.867942
HW,WW18,19,1,Ahrr,31.38789558
HW,WW18,19,1,Aldh3a1,491.7436974
HW,WW18,19,1,Bbs2,102.3012893
HW,WW18,19,1,Ccbl1,466.1683751
HW,WW18,19,1,Cxcr7,30.22538093
HW,WW18,19,1,Col18a1,943.9618967
HW,WW19,19,1,Ahrr,27.62564998
HW,WW19,19,1,Aldh3a1,489.7274315
HW,WW19,19,1,Bbs2,99.20119766
HW,WW19,19,1,Ccbl1,522.3759269
HW,WW19,19,1,Cxcr7,25.11422726
HW,WW19,19,1,Col18a1,1220.551445
HW,WW20,19,1,Ahrr,22.427872
HW,WW20,19,1,Aldh3a1,368.4578971
HW,WW20,19,1,Bbs2,91.31347884
HW,WW20,19,1,Ccbl1,371.6618788
HW,WW20,19,1,Cxcr7,11.213936
HW,WW20,19,1,Col18a1,845.8511724
HW,WW21,19,10,Ahrr,32.99980096
HW,WW21,19,10,Aldh3a1,5050.28954
HW,WW21,19,10,Bbs2,117.4792914
HW,WW21,19,10,Ccbl1,630.9561944
HW,WW21,19,10,Cxcr7,31.67980893
HW,WW21,19,10,Col18a1,1151.033058
HW,WW22,19,10,Ahrr,38.39528895
HW,WW22,19,10,Aldh3a1,6634.705931
HW,WW22,19,10,Bbs2,93.42853645
HW,WW22,19,10,Ccbl1,802.4615391
HW,WW22,19,10,Cxcr7,25.5968593
HW,WW22,19,10,Col18a1,1045.631702
HW,WW23,19,10,Ahrr,44.68561618
HW,WW23,19,10,Aldh3a1,6369.296221
HW,WW23,19,10,Bbs2,111.7140405
HW,WW23,19,10,Ccbl1,726.141263
HW,WW23,19,10,Cxcr7,39.89787159
HW,WW23,19,10,Col18a1,1155.442361
HW,WW24,19,10,Ahrr,18.59789888
HW,WW24,19,10,Aldh3a1,4321.354647
HW,WW24,19,10,Bbs2,75.72001686
HW,WW24,19,10,Ccbl1,684.1369945
HW,WW24,19,10,Cxcr7,33.21053371
HW,WW24,19,10,Col18a1,706.7201574
HW,WW25,19,100,Ahrr,45.56782755
