strain,sample,time,dose,Ahrr,Aldh3a1,Bbs2,Ccbl1,Cxcr7,Col18a1
HW,HW10D10,240,0,9.897117783,106.6689361,35.18975212,282.6176967,20.89391532,1837.564868
HW,HW10D11,240,0,3.123838247,23.42878686,11.71439343,101.524743,10.1524743,602.9007818
HW,HW10D14,240,0,6.4547992,97.74410217,19.3643976,192.7218618,14.75382674,1392.392399
HW,HW10D17,240,0,4.503942994,66.80848774,35.28088679,177.9057483,29.27562946,1284.37441
HW,HW10D5,240,0,3.189172313,128.62995,26.57643594,201.9809131,13.81974669,936.5536025
HW,HW10D1,240,100,95.41412471,13697.08442,79.94156394,920.6173654,123.7804861,1579.490578
HW,HW10D13,240,100,188.4756666,11089.29279,79.49313827,974.4320175,129.4968865,1342.408319
HW,HW10D18,240,100,219.5176064,24805.48952,85.2382195,1338.123281,294.2470043,1563.479122
HW,HW10D8,240,100,150.1917293,16683.59275,51.70534942,870.373382,68.9404659,688.1735792
HW,HW10D9,240,100,185.5212509,17486.39352,89.37520114,1081.981602,143.5419897,1504.482553
HW,HW10,384,0,5.645221125,9.879136969,42.33915844,235.687982,19.75827394,1954.657815
HW,HW7,384,0,4.869810618,121.7452654,29.21886371,180.1829929,27.5955935,1551.846317
HW,HW8,384,0,5.446957438,8.170436158,30.86609215,125.2800211,14.52521984,944.1392893
HW,HW9,384,0,3.495225285,4.369031606,34.07844653,203.5968728,14.85470746,1873.440753
HW,HW11,384,100,122.4675259,18312.49711,116.7043482,1174.247455,106.6187873,1484.018256
HW,HW12,384,100,503.4512471,8809.793167,120.7317139,1884.622055,53.12195414,1742.158632
HW,HW13,384,100,186.8658849,21353.41093,117.3343928,1071.943836,99.95151983,1371.798395
HW,HW14,384,100,154.9011536,23426.45249,112.6553844,934.1008958,77.45057679,1382.375446
LE,LE96,3,100,29.96214451,1071.446288,73.1076326,324.7896464,141.4213221,877.2915911
LE,LE97,3,100,33.27978202,4458.159599,93.18338966,456.5986093,106.4953025,957.1265309
LE,LE98,3,100,41.26134526,3814.247299,75.24127666,466.0104877,121.3568978,993.9129932
LE,LE99,3,100,33.95767282,2822.125166,99.44747041,561.5143756,127.3412731,1394.690134
LE,LE92,6,100,34.66358956,5227.78284,110.4099519,703.5424843,88.58472887,1046.32687
LE,LE93,6,100,30.52521804,4856.164035,127.4096057,810.9090532,82.28537037,1199.773787
LE,LE94,6,100,57.38675616,4730.5299,144.2423871,992.6357823,145.7933805,1324.548372
LE,LE95,6,100,36.78633882,5355.378939,128.1588578,634.8610087,60.51946065,841.3391686
LE,LE88,10,100,37.83987169,9979.215051,92.49746414,654.8400018,73.57752829,1099.458494
LE,LE89,10,100,25.73479907,8692.423287,63.34719772,583.981979,82.15339704,878.9423684
LE,LE90,10,100,38.79401756,6876.94926,104.0815105,720.0548138,98.40433723,1036.084128
LE,LE91,10,100,26.34446242,9998.998221,124.0739198,733.395841,113.026242,1303.625979
LE,LE100,19,0,15.0877747,68.64937488,51.29843398,237.6324515,51.29843398,1672.479825
LE,LE101,19,0,2.460686913,228.8438829,39.37099061,312.5072379,59.05648591,2335.19188
LE,LE102,19,0,7.246265492,86.04940272,36.23132746,279.8870046,35.32554428,1522.621537
LE,LE52,19,0,4.989007904,8.980214228,83.81533279,560.7644885,54.87908695,3676.898826
LE,LE53,19,0,7.049195449,42.2951727,43.30220062,327.2840744,46.32328438,2446.070821
LE,LE54,19,0,10.14106719,18.02856389,78.87496703,406.7694728,51.83212119,3330.777179
LE,LE55,19,0,9.941130409,14.52934444,54.29386608,320.4102801,50.47035438,2763.634254
LE,LE56,19,0.001,9.871319609,12.06494619,64.7119841,406.9177305,44.96934489,2374.600773
LE,LE57,19,0.001,5.14998841,9.012479717,78.53732325,361.7866858,59.22486671,2290.457345
LE,LE58,19,0.001,3.202965515,26.69137929,59.78868962,414.2502066,56.5857241,2265.564274
LE,LE59,19,0.001,8.764352777,23.37160741,40.90031296,404.1340447,51.61229969,1746.053837
LE,LE60,19,0.01,11.00547375,11.00547375,51.02537828,282.1403269,40.01990453,1438.715568
LE,LE61,19,0.01,9.805735042,16.66974957,62.75670427,293.1914778,48.04810171,1569.89818
LE,LE62,19,0.01,6.839743421,12.70238064,58.62637218,279.452374,42.99267293,1641.538421
LE,LE63,19,0.01,3.876103493,20.34954334,73.64596636,315.9024347,75.58401811,1789.790788
LE,LE64,19,0.1,4.312449533,10.34987888,36.22457607,202.685128,25.8746972,953.9138366
LE,LE65,19,0.1,9.822334893,19.64466979,41.07521864,258.0595258,30.35994421,1380.484522
LE,LE66,19,0.1,13.51093881,18.57754086,69.24356138,211.1084189,27.02187761,2377.92523
LE,LE67,19,0.1,12.53682789,20.59621725,43.87889762,223.8719266,33.13304514,1277.860957
LE,LE68,19,1,34.70097285,841.4985915,123.9320459,490.7709017,90.47039349,2068.425846
LE,LE69,19,1,23.88930108,414.7182667,112.7575011,575.2543699,50.64531828,1642.628342
LE,LE70,19,1,9.679269216,198.0527393,36.48339935,194.3299435,21.59221594,644.0436825
LE,LE71,19,1,18.74540162,562.3620486,92.6855969,463.4279845,88.51995209,1519.418942
LE,LE72,19,10,42.35385688,13269.01753,138.2073225,1096.741978,90.28058967,2228.035787
LE,LE73,19,10,28.77736933,10740.86533,127.7715198,827.637142,116.2605721,1733.548729
LE,LE74,19,10,47.01689475,19003.96765,112.3181375,856.7523044,107.094038,1507.152682
LE,LE75,19,10,23.73007989,7153.195283,91.12350679,528.70618,51.25697257,1097.278894
LE,LE76,19,50,56.26392856,22971.43675,145.1609357,1298.571471,178.9192928,2111.0226
LE,LE77,19,50,29.40738082,26427.05588,122.1537357,1200.047348,113.1053109,1794.981283
LE,LE78,19,50,34.09936836,24098.63566,66.45005116,749.3117611,110.1671901,893.5783196
LE,LE79,19,50,44.32694443,18456.39058,105.0355857,934.7203499,116.5991364,1254.645253
LE,LE80,19,100,54.08736863,26589.55452,130.6260978,1182.778495,213.2879253,1763.452321
LE,LE81,19,100,39.79410711,33812.20008,117.9611032,1461.012218,228.8161159,1858.953289
LE,LE82,19,100,69.15260532,18213.30105,124.2877906,963.4640012,135.5017266,880.2939759
LE,LE83,19,100,66.62982845,28977.3124,125.4861769,1317.049609,153.2486054,1335.928061
LE,LE84,19,1000,25.60748041,21686.33497,110.9657484,1030.701086,141.9081206,1321.986176
LE,LE85,19,1000,38.03374095,17479.07382,124.3806123,1167.738641,100.7380166,1253.057574
LE,LE86,19,1000,31.22251556,13034.65685,90.69397377,716.6310714,84.74682795,773.1289567
LE,LE87,19,1000,60.9020011,13092.7122,170.5256031,711.3353728,69.42828125,649.2153317
LE,LE4D51,96,0,17.80554754,194.6739865,109.2073583,485.4979296,175.6814024,5072.206976
LE,LE4D53,96,0,12.33521465,167.9486918,74.01128793,374.800753,74.01128793,2300.991964
LE,LE4D56,96,0,8.391489726,375.0350409,49.70343915,267.882172,60.67692571,2326.379152
LE,LE4D57,96,0,8.86318484,48.25511746,83.70785683,371.268965,74.84467199,3097.190703
LE,LE4D50,96,100,105.9765259,20714.58692,145.3080201,1702.179664,1556.871644,1635.534632
LE,LE4D52,96,100,259.0782216,37954.43923,129.0188734,1616.897817,1017.58434,1327.645826
LE,LE4D55,96,100,187.0731611,56339.19459,144.8308344,1628.139964,1725.900777,1320.37444
LE,LE4D58,96,100,237.5814537,49857.81517,165.3273002,2116.189443,1652.048356,1233.219195
LE,LE10D27,240,0,5.629557836,18.29606297,57.70296782,216.7379767,63.33252566,2736.668803
LE,LE10D28,240,0,1.582546229,7.121458031,37.18983638,178.8277239,25.32073966,1941.784223
LE,LE10D32,240,0,7.00617563,39.7016619,51.37862128,319.9486871,49.82169337,3539.675621
LE,LE10D35,240,0,11.49186064,19.70033252,57.45930318,201.9284083,52.53422005,2982.958682
LE,LE10D37,240,0,5.564835688,13.91208922,53.79341165,289.3714558,66.77802825,3354.668447
LE,LE10D29,240,100,164.3247341,43507.13553,127.1354522,1036.975559,3898.820534,1196.975958
LE,LE10D30,240,100,162.8159466,49780.97569,113.9711627,1085.778844,4833.598416,1137.676427
LE,LE10D33,240,100,250.1623504,50089.52464,159.0944772,1281.533444,5066.884798,1235.450906
LE,LE10D34,240,100,211.5620307,49191.71504,147.7897439,1237.99217,4468.109108,1043.638534
LE,LE10D38,240,100,272.6826012,70602.46193,124.5877402,1211.792077,4213.651401,932.0573393
