strain,sample,time,dose,Ahrr,Aldh3a1,Bbs2,Ccbl1,Cxcr7,Col18a1,Cyb5a,Cyp1a1,Cyp1a2,Cyp1b1,Cyp2a1,Cyp2s1,Eef1a1,Eml4,Exoc3,Fdft1,Fmo1,Gapdh,Gfer,Ghr,Glud1,Hagh,Hprt1,Hsd17b12,Ivns1abp,Lasp1,Uvrag,Inmt,Pbld,Mug1,Neu1,Nfe2l2,Nqo1,Nrbp2,Nudt4,Pde2a,Perp,Pgk1,Pmm1,Ppia,Psmb4,Pomp,Derl1,Ern1,Rpl13a,Scn4b,Sdc1,Sdha,Slco1a1,Srxn1,Tiparp,Tpm1,Ugt1a1,Zfp422
HW,WW41,6,100,29.70155111,4193.714131,90.55350948,841.7854241,42.0168284,2149.378101,22039.27535,79085.81304,228664.9977,53.60767761,4410.318125,12.31527729,33481.61681,732.3967846,438.2789859,2090.699427,1230.078873,18658.36952,470.1538212,4432.050968,11658.22102,1945.089384,660.6784051,1941.467243,596.9287345,542.5966288,428.1369928,316.5750691,5197.771444,29091.58267,413.6484313,2425.385198,3031.007069,10.86642114,406.4041505,533.9034919,900.4640982,2460.157745,152.1298959,14212.55442,1430.021022,3595.33654,1173.573483,289.0468022,1048.971854,22.45727035,841.060996,1699.508266,888.873249,243.4078335,709.2150862,50.70996531,2649.957901,527.3836392
HW,WW42,6,100,30.18524424,6712.369704,73.39157423,703.730498,34.32831698,1551.284807,15650.7532,62965.23574,155278.815,39.65512478,3325.111806,20.71536369,24283.14119,598.3780769,335.5888918,1466.647749,808.4910515,13934.33735,332.0376866,3149.327149,9045.511523,1444.748651,507.2304767,1557.203482,493.0256559,352.7530503,304.81178,198.2756239,3779.074205,26548.21824,303.628045,2607.768355,3954.858863,9.469880545,249.7680994,320.7922035,722.0783916,1751.927901,131.3945926,10075.36103,1197.939889,2653.342155,922.1296181,226.6852655,771.2033969,17.16415849,780.0814099,1378.459487,587.1325938,242.665689,865.9022023,32.55271437,2161.500234,307.1792502
HW,WW43,6,100,18.13679036,3657.586056,57.86499782,943.9767555,37.13723741,1779.996426,19288.04472,79053.08725,212645.2304,63.04693793,4889.160488,17.27313368,28628.49176,601.105052,395.5547612,1236.756371,1181.482344,17076.21995,382.599911,3435.626289,8950.074216,1416.396962,633.0603493,2058.093878,443.0558789,405.0549848,306.5981228,189.1408138,4944.434515,20833.12653,340.2807335,2433.784535,4810.567729,6.045596787,362.7358072,427.5100585,931.885562,2312.008943,178.7769336,11895.14351,1522.626734,3364.806441,1084.752795,178.7769336,988.0232464,14.68216363,1000.11444,1437.988379,687.4707204,145.9579796,1227.256148,30.22798394,2340.509613,456.0107291
HW,WW44,6,100,26.64528285,3640.811448,99.12045219,1086.061729,31.97433942,2235.006325,23193.12,95413.56044,280889.2427,57.55381095,5465.480418,11.72392445,36911.17742,808.9507872,432.7193934,1242.735992,1178.787313,19797.44516,423.12709160000003,4544.619442,15404.17092,1760.720291,762.0550894,2745.529945,815.3456551,461.4962989,396.4818088,272.8476964,4916.587591,40403.8411,363.441658,2216.887533,4984.799515,7.460679197,643.7500336,617.1047507,1155.339464,2692.239379,245.1366022,14062.31448,1521.978556,3690.90458,1248.065049,303.7562245,1303.487237,17.05298102,1219.288143,1884.354403,908.0712394,193.9776591,1252.328294,27.71109416,2551.552285,448.7065631
HW,WW37,10,100,55.67742297,12074.67481,190.4753944,1695.23101,39.56027422,3226.360142,50807.11366,206645.2902,803958.5446,183.1494177,10599.2231,32.23429751,68292.75486,1531.129132,991.9372461,5249.794908,1191.203813,35673.11098,521.6095415,8040.992033,23783.05078,3853.463748,1361.166472,6849.788221,1566.29382,736.9932567,653.4771222,82.05093912,7787.513239,42606.41533,1025.636739,4203.645434,6133.307699,19.04753944,597.7996993,780.9491169,2257.866021,3396.322801,552.3786437,24100.99817,2756.032437,6213.893443,2397.059578,347.2512959,1906.219139,17.5823441,2452.737001,3006.58084,1268.859166,370.6944214,1115.013655,108.4244553,3318.667448,780.9491169
HW,WW38,10,100,38.5491127,6707.54561,139.5743736,1635.01409,41.2076722,2411.313463,38004.108,141350.2913,506264.1678,195.404123,9138.798269,10.63423799,51957.55752,1276.108558,757.6894565,4429.160121,889.2881516,35735.02747,416.0645612,5929.916957,17569.09043,3410.931834,1140.522024,4098.169464,1246.864404,705.8475463,535.6997385,103.6838204,6435.043261,23566.80066,663.3105944,3327.18721,6306.103126,6.646398741,556.9682145,643.3713981,2011.200259,3264.711062,441.3208764,20577.2505,2566.839194,4847.883242,1709.453756,284.4658661,2141.469674,21.26847597,1701.478078,2666.535175,761.6772957,305.7343421,1755.978547,79.75678489,1526.013151,583.55380950000006
HW,WW39,10,100,24.33998335,11279.14828,129.0019117,1053.921279,47.46296753,2401.139357,30134.11638,111788.6755,466215.343,126.5679134,6725.137399,19.47198668,38780.89547,1083.129259,647.443557,3483.051617,1285.151121,22928.26431,272.6078135,5469.194258,14083.11436,2589.774228,826.3424347,3178.801825,787.3984613,529.3946378,417.4307144,135.0869076,7065.897166,33981.05075,599.9805895,3199.490811,4967.790601,10.95299251,402.8267244,562.2536153,1254.726142,2297.694428,278.6928093,15354.87849,1535.852949,4012.446255,1540.720946,209.3238568,1133.026225,14.60399001,1440.927014,1807.243764,848.2484197,199.5878635,2505.801286,45.02896919,2632.369199,463.6766828
HW,WW40,10,100,31.24949264,10186.21855,123.8819172,1056.902483,41.29397241,2696.384793,36613.24484,126179.871,498777.6162,116.0695441,8974.184653,18.97290624,49597.40903,983.2429647,579.2316671,3585.87928,1616.045191,27890.17218,316.9591396,7094.750882,14352.44555,3588.111387,1215.382053,3557.977947,978.7787515,597.08852,497.7597756,478.7868693,8738.697405,35557.45841,649.5430255,4049.041403,4820.234239,20.08895955,510.0363619,630.5701193,1873.853505,3254.411447,327.0036194,19210.6256,2224.294244,4746.574721,1700.865242,226.5588216,1800.193986,20.08895955,1734.346841,2424.067786,924.0921394,217.6303951,2170.723685,42.41002572,3485.434482,511.1524153
HW,WW1,19,0,8.63938793,6.911510344,48.38057241,396.547906,24.1902862,3022.057898,25409.30384,26.78210258,50391.82192,3.455755172,4825.098159,21.59846982,42840.13293,410.3709267,242.7668008,3518.822704,1906.712916,27974.33812,552.0568887,5968.953121,21737.56397,3347.762823,1463.512315,2344.729884,933.0538964,833.7009352,442.336662,249.6783112,3183.614452,41353.29426,277.3243525,1775.39422,183.1550241,15.55089827,635.8589516,426.7857637,864.8027318,5072.184654,105.4005327,16708.57626,2244.512984,4303.279128,1136.943452,337.8000681,2171.942126,9.503326723,1950.773795,2116.650043,1560.2734599999999,164.1483707,273.0046586,40.60512327,4164.184982,406.9151715
HW,WW2,19,0,6.774993069,9.854535374,36.95450765,396.6450488,24.63633843,2354.618046,16606.123920000002,22.17270459,34312.87626,10.47044383,4786.224649,10.47044383,32994.21625,376.3200696,206.9452428,3433.689669,1027.951221,16171.29255,404.0359503,3952.900502,13337.49772,2504.89971,700.9038285,1387.641762,770.5014845,598.0471155,354.7632735,197.0907075,2456.85885,33554.69295,315.345132,1611.832442,307.338322,7.39090153,528.4494594,291.9406104,700.28792,2772.819891,78.83628299,11113.45227,1527.452983,3382.569267,873.3581975,287.6292512,1104.32387,8.622718452,1853.884467,1358.078156,1096.932969,116.4066991,174.9180029,36.95450765,2657.645009,336.2860196
HW,WW3,19,0,2.845421363,3.79389515,48.37216317,294.0268741,18.02100196,2219.428663,22362.16649,165.9829128,47524.2276,7.587790301,3561.519072,9.484737876,29453.905,332.9142994,213.4066022,3119.530287,1170.416654,16643.81802,475.1853676,4359.185528,15556.86706,2768.594986,965.5463157,1723.376872,839.399302,688.5919698,330.0688781,533.04226860000006,2300.048935,26584.77179,216.2520236,1258.624716,114.7653283,4.742368938,485.6185792,327.2234567,501.7426336,3332.93689,88.20806224,11861.61319,1337.34804,3074.952019,803.3572981,245.654711,975.0310536,6.639316513,1491.949268,1427.45305,1270.954875,105.2805904,213.4066022,35.09353014,3301.637255,255.1394489
HW,WW4,19,0,8.779915746,7.023932597,55.3134692,361.7325287,29.85171354,2932.491859,26500.4197,128.1867699,54272.17119,8.779915746,4467.221132,18.43782307,35847.518,381.0483434,263.3974724,3103.700216,1389.860663,21956.8133,601.4242286,5064.255402,16047.05201,3238.032927,936.8170101,2162.493248,985.1065467,752.4387794,480.2613913,525.0389616,2775.3313669999998,38751.91413,298.5171354,1886.803894,145.7466014,8.779915746,590.8883297,364.3665035,792.8263919,3875.45481,78.14125014,16393.85868,1772.664989,4006.275555,1059.735831,325.7348742,1162.460845,9.65790732,1640.088261,1847.294273,1619.016464,139.6006604,252.8615735,52.67949448,3518.990231,389.8282591
HW,WW49,19,0,8.632226856,101.6684496,60.42558799,352.0030285,33.56977111,2753.680367,28797.10879,1044.49945,50937.81154,12.46877213,6439.641235,23.01927162,50189.68521,385.5727996,248.4163062,3942.050264,1328.403799,26157.56565,668.5180132,5454.608237,18012.58004,3563.191419,1488.579564,2052.551719,988.8695432,868.9775035,527.5249745,613.8472431,3778.037954,22767.01876,342.4116653,1641.082239,196.6229451,6.713954221,610.0106978,364.4718006,1543.250335,5140.011525,115.0963581,20834.35908,2217.523166,5185.090931,1114.516401,224.4378983,1927.863998,13.42790844,2240.542437,2425.655747,1164.391489,154.4209471,316.5149847,38.36545269,2791.086683,373.1040274
HW,WW50,19,0,4.506592426,4.506592426,43.93927615,402.213374,47.31922047,3668.366235,21279.00279,123.9312917,51557.67065,5.633240532,5511.562537,16.8997216,42257.19053,426.9996323,232.0895099,4058.186479,1384.650523,17282.78195,494.5985187,5725.625677,13606.52918,3306.712192,921.5981511,1792.497137,1160.44755,940.7511689,381.9337081,345.8809687,2857.179598,45450.11126,350.3875611,1871.362505,473.1922047,7.886536745,692.8885855,425.8729842,872.0256344,3610.907181,92.38514473,13535.55035,1848.829543,4010.867259,1235.932973,350.3875611,1881.502338,6.759888639,2670.156012,2112.4652,1107.495089,138.5777171,334.6144876,28.16620266,2889.852393,461.9257236
HW,WW51,19,0,8.813061455,2.711711217,42.03152386,460.9909069,15.5923395,3052.708902,20959.49392,143.0427667,50988.30601,2.711711217,4630.246903,18.30405071,31124.34342,290.1531002,189.1418574,3826.224527,1530.760982,18360.31872,475.9053186,3618.100691,12589.11932,2830.348583,999.9435112,1554.488455,639.2859194,738.9413066,334.8963353,296.9323782,3130.6706,27014.74507,323.3715626,1491.441169,1130.783577,5.423422434,546.4098102,290.831028,768.77013,3523.190799,95.5878204,12362.01351,1702.954644,3729.958779,955.2002762,206.7679803,1848.031194,13.55855608,2123.269883,1738.884818,968.0809044,113.8918711,183.0405071,47.4549463,2256.143732,409.4683938
HW,WW5,19,0.001,21.72089894,59.44667078,58.30346558,313.2382268,28.58013018,1339.836503,28560.6957,345.2479726,63051.1968,41.15538747,3958.919633,26.29371977,32499.03764,372.6848976,269.7964289,2808.855195,1048.319175,21787.20484,572.7458089,5626.856031,20663.43412,2925.462126,942.0010909,2199.526819,982.0132731,547.5952943,451.5660569,693.9255609,3037.496236,24330.83643,238.9298883,1640.499473,186.3424488,28.58013018,610.4715807,242.359504,717.9328702,4647.129168,86.88359576,19971.79497,1390.137532,4707.719044,776.2363358,264.0804029,793.3844139,16.0048729,2005.181934,1774.254482,1581.052802,136.0414197,318.9542529,30.8665406,3678.834357,363.5392559
HW,WW6,19,0.001,5.212333427,96.4281684,54.72950099,303.6184221,39.0925007,1261.384689,24163.07469,465.2007584,55682.05492,72.97266798,5801.327104,24.75858378,32363.37825,526.4456761,308.8307556,3914.462404,951.2508505,21662.45772,553.8104266,5324.398596,20950.97421,3200.372724,758.3945137,2117.510455,985.1310177,471.7161752,501.6870924,161.5823362,2524.072462,29474.44245,226.7365041,2084.933371,161.5823362,23.45550042,792.2746809,307.5276722,949.9477671,4189.412992,75.57883469,19554.06885,1292.65869,4679.372334,930.4015168,414.3805075,866.5504323,19.54625035,1898.592451,1808.679699,1356.509774,104.2466685,317.9523391,31.27400056,3062.245888,499.0809257
HW,WW7,19,0.001,11.54108486,4.616433944,27.69860367,226.2052633,12.69519335,622.064474,23776.94303,100.4074383,47529.64978,23.08216972,2857.572611,20.77395275,23323.37839,201.9689851,161.575188,2672.915254,721.3178038,13870.07579,476.6468047,3228.041436,12645.56668,2846.031527,1129.872208,1683.844281,592.0576533,270.0613857,460.4892859,466.2598284,2431.70658,8152.622346,161.575188,1088.324302,154.6505371,17.31162729,656.6877286,183.5032493,642.8384267,3194.572289,75.01705159,18360.7119,1613.443664,4971.899358,595.5199788,130.4142589,1423.015763,9.232867888,1461.101343,1047.930505,796.3348554,78.47937705,186.9655747,23.08216972,1901.970785,276.9860367
HW,WW8,19,0.001,5.313456645,10.62691329,38.25688784,250.7951536,12.75229595,765.1377569,14990.32389,98.83029359,24096.52588,26.56728322,2686.48368,21.25382658,17632.17453,187.0336739,149.8394774,2799.128961,497.339542,12203.94722,290.1147328,2901.147328,7610.995298,1928.784762,490.963394,948.9833568,441.0169015,359.1896692,204.0367352,106.2691329,2070.122709,6313.449185,130.7110335,714.1285731,666.3074633,17.00306126,368.7538912,198.7232785,463.3334194,1978.731255,53.13456645,8455.834905,930.9176042,2835.260466,538.7845038,162.5917733,775.7646701,6.376147974,1102.010908,857.5919025,463.3334194,60.57340575,119.0214288,34.00612253,1198.715819,225.2905617
HW,WW10,19,0.01,11.81600851,20.67801489,35.44802553,265.8601915,36.92502659,1264.312911,29788.15745,737.0235308,59455.20082,4.431003191,4265.579072,14.77001064,34575.1179,350.0492521,248.1361787,3299.620376,1081.164779,21144.74723,506.6113648,5277.324801,18038.61399,2504.993804,986.6367105,1985.08943,1010.268728,494.7953563,394.359284,488.8873521,2736.882971,19700.24019,258.4751861,1627.655172,125.5450904,10.33900745,700.0985042,279.153201,883.2466361,4123.78697,72.37305212,18208.469109999998,1621.747168,5377.760873,802.0115776,285.0612053,1228.864885,11.81600851,1813.757306,1679.350209,1217.048876,107.8210776,249.6131798,23.63201702,3024.898178,406.1752925
HW,WW11,19,0.01,6.124853888,11.024737,26.94935711,205.7950906,24.49941555,948.1273819,21808.15475,548.7869084,46194.873,12.24970778,3592.839291,8.574795444,26780.31114,205.7950906,156.7962595,2351.943893,659.0342784,16061.81684,388.3157365,3629.588414,11495.12578,2313.969799,866.0543398,1378.092125,624.7350966,407.915269,311.1425775,416.4900644,2023.651725,13317.88229,189.8704705,986.101476,423.8398891,7.349824666,460.5890124,200.8952075,797.4559762,3427.468236,69.82333433,13641.27458,1277.644521,4205.32468,613.7103596,144.5465518,966.5019436,7.349824666,1471.189904,1153.922473,770.5066191,80.84807132,188.6454998,23.27444478,2064.07576,211.9199445
HW,WW12,19,0.01,21.35288614,3013.26905,80.38733605,586.5763427,135.6536296,1649.196441,19419.82192,56175.67527,171338.0705,134.3975775,6547.799731,20.09683401,34689.64761,1661.756962,352.9506473,1202.041884,788.800735,24994.18125,425.8016706,4569.517633,19004.06866,1576.345418,669.475783,2386.499039,1009.865909,560.1992481,435.8500876,600.3929161,4234.151716,64563.59137,409.472993,4182.653579,4016.854698,16.32867763,943.2951464,481.0679642,1036.243004,4089.705721,265.0269985,17827.14782,1298.757898,4358.500876,1017.402222,246.1862166,1194.505572,20.09683401,1080.204828,1866.493459,1028.706691,366.7672207,1493.445977,27.63314677,2051.133121,498.6526939
HW,WW9,19,0.01,11.06052233,3.3181567,38.71182817,355.0427669,17.69683573,1267.535859,24720.26741,357.2548714,63867.88016,12.16657457,3933.121742,7.742365633,27576.09428,264.3464838,216.7862377,3464.155595,753.2215709,20082.5904,407.0272219,3993.954614,16004.57582,2639.040629,888.1599433,1704.426492,661.4192355,499.9356095,350.618558,121.6657457,2451.011749,16708.02504,197.9833498,950.0988684,329.6035655,17.69683573,623.8134596,256.6041181,760.9639365,3732.926287,77.42365633,14146.40806,1575.01838,4806.903006,793.0394513,202.4075587,952.3109729,16.5907835,2280.679705,1412.428702,1004.295428,76.3176041,288.6796329,36.4997237,2671.116143,330.7096178
HW,WW13,19,0.1,25.2745482,6311.4157510000005,111.930142,775.0861449,97.48754307,1264.93096,22798.84603,82426.31944,273416.4518,110.7265921,8988.110761,28.88519795,34104.99392,970.061231,512.7122635,1291.409058,849.7062396,17532.1116,471.7915664,3758.686383,14322.24398,1296.223258,729.3512481,2048.441954,678.8021517,457.3489675,441.7028186,583.7217085,5685.569796,50286.72252,401.9856714,2763.350603,7037.15635,10.83194923,459.7560673,475.4022162,1368.436253,2546.711619,267.188081,17090.40878,1457.498946,4306.301594,1067.548774,243.1170827,1216.788963,33.6993976,737.7760975,1684.96988,835.2636406,258.7632316,1675.341481,48.14199658,2095.380401,624.6424056
HW,WW14,19,0.1,11.07549987,23.15786337,55.37749937,266.8188606,25.17159062,1143.797078,26220.74252,9267.172803,129873.3252,13.08922712,4634.593265,11.07549987,26103.94634,279.9080877,200.3658613,2726.586696,698.7633556,15053.61805,414.8278134,3706.265003,13128.4948,2139.585203,822.6075815,1352.217848,659.4956743,452.0817675,287.9629967,281.921815,2474.87079,20873.28981,234.5992246,1372.355121,409.7934953,18.12354525,540.6857665,266.8188606,747.0928096,3200.819463,65.44613561,11763.18773,1206.222623,3561.276641,711.8525828,219.4962702,818.580127,14.09609075,2026.816477,1258.579531,813.5458089,110.7549987,224.5305883,22.15099975,2737.662196,318.16890540000003
HW,WW15,19,0.1,16.00969212,22.01332667,80.04846061,418.2532067,32.01938424,1364.826253,41156.91602,14269.63871,124164.1679,7.004240303,5391.263822,13.00787485,37524.71712,604.3658776,285.1726409,3073.860887,841.5094422,22583.67195,703.4258476,5003.028788,20139.19208,3452.089864,1276.772947,1941.17517,1081.654824,615.3725409,484.2931867,413.2501779,3271.980827,14873.00398,277.1677949,2004.213333,301.182333,19.01150939,784.474914,416.2519952,1147.694804,4421.676843,99.05997,19328.70142,1890.144276,6279.801735,949.574864,292.1768812,1757.06371,14.00848061,1833.109748,1836.111565,950.5754697,189.1144882,313.1896021,58.03513394,2357.427165,531.3216573
HW,WW16,19,0.1,13.85053525,39.57295786,47.48754943,176.0996625,33.63701418,819.1602276,27627.86053,10244.44947,94434.92798,10.88256341,3836.598264,10.88256341,24343.30503,293.8292121,196.8754653,1689.7653,682.633523,14753.78801,448.1637477,3258.83308,11168.47803,2158.704851,844.8826502,1308.875581,708.3559456,348.2420291,400.6761983,313.615691,2647.4308810000002,13124.37147,174.1210146,1264.356004,151.3665638,14.8398592,491.6940014,230.5124795,804.3203684,3162.868657,66.28470441,15411.68844,1477.060652,4567.708661,635.1459736,168.1850709,1200.049947,11.87188736,1287.110454,1113.978764,777.6086219,87.06050729,226.5551837,38.58363391,1894.555357,317.5729868
HW,WW17,19,1,33.41682865,755.7344325,88.68312218,476.8324395,32.13156601,1188.867942,39361.16836,75780.37053,389957.6819,34.70209129,4303.05932,16.70841432,26463.55776,577.0829255,350.8767008,2657.92314,670.9070982,19627.24578,471.691389,3624.440646,11518.52378,2133.535983,771.1575842,2002.439194,610.4997541,415.1398328,341.8798623,163.2283553,3803.092153,13609.6461,299.4661952,2076.984427,1303.256317,10.28210112,516.6755814,398.4314185,841.8470294,3564.033302,115.6736376,15064.56341,1472.910986,4088.420459,836.7059788,203.0714972,936.9564648,11.56736376,1388.083652,1430.497319,895.8280603,106.6767991,321.3156601,44.98419241,2359.742208,489.6850659
HW,WW18,19,1,31.38789558,491.7436974,102.3012893,466.1683751,30.22538093,943.9618967,42408.53447,70346.08657,385098.0909,62.77579116,7394.755696,15.11269046,27343.50711,791.6724774,477.7935216,2229.703101,632.4079702,18500.25816,573.119723,3840.948407,13912.97534,2541.257027,903.2738839,2021.612978,634.7329995,389.4424081,473.143463,159.2645072,4269.916313,11129.91527,296.441236,2844.673351,1276.441087,19.76274907,564.9821204,404.5550986,1105.551433,3559.619862,91.83865744,17993.40177,1896.061396,5747.472435,1018.362834,224.3653277,1626.357997,8.137602558,1339.216878,1469.418519,739.3593181,197.6274907,684.7211295,52.3131593,1680.996185,540.5693128
